0.00  0.0660967  0.0004780
0.10  0.0542191  0.0005306
0.20  0.0511880  0.0004902
0.30  0.0483480  0.0005304
0.40  0.0462518  0.0004956
0.50  0.0445328  0.0005117
0.60  0.0430195  0.0005262
0.70  0.0417366  0.0005346
0.80  0.0403898  0.0005996
0.90  0.0391739  0.0005909
1.00  0.0379588  0.0006527
1.10  0.0369303  0.0006562
1.20  0.0358260  0.0006318
1.30  0.0347858  0.0006592
1.40  0.0337510  0.0006321
1.50  0.0328556  0.0006804
1.60  0.0319319  0.0006453
1.70  0.0311065  0.0005807
1.80  0.0302337  0.0005417
1.90  0.0294652  0.0005197
2.00  0.0286560  0.0005340
2.10  0.0279329  0.0005277
2.20  0.0272058  0.0005704
2.30  0.0265445  0.0005715
2.40  0.0258448  0.0005750
2.50  0.0252619  0.0005321
2.60  0.0244799  0.0005270
2.70  0.0238835  0.0005577
2.80  0.0232280  0.0005417
2.90  0.0227693  0.0005130
3.00  0.0221369  0.0005411
3.10  0.0215907  0.0005029
3.20  0.0211082  0.0004885
3.30  0.0204354  0.0005054
3.40  0.0199970  0.0005360
3.50  0.0194767  0.0004561
3.60  0.0190097  0.0004702
3.70  0.0186013  0.0004302
3.80  0.0181805  0.0004072
3.90  0.0177840  0.0004079
4.00  0.0173187  0.0003781
4.10  0.0167803  0.0003355
4.20  0.0163685  0.0003302
4.30  0.0159688  0.0003121
4.40  0.0156028  0.0003007
4.50  0.0151628  0.0002921
4.60  0.0148450  0.0003195
4.70  0.0145093  0.0002512
4.80  0.0141785  0.0001852
4.90  0.0140396  0.0001744
5.00  0.0137123  0.0001768
5.10  0.0134411  0.0001812
5.20  0.0131459  0.0001707
5.30  0.0128156  0.0001320
5.40  0.0125932  0.0001121
5.50  0.0122830  0.0001502
5.60  0.0119655  0.0001544
5.70  0.0117038  0.0001747
5.80  0.0114814  0.0001835
5.90  0.0111596  0.0001955
6.00  0.0109369  0.0002086
6.10  0.0107353  0.0002536
6.20  0.0106108  0.0002775
6.30  0.0103612  0.0002773
6.40  0.0101996  0.0002999
6.50  0.0099224  0.0003165
6.60  0.0097439  0.0003681
6.70  0.0095540  0.0004398
6.80  0.0093257  0.0004769
6.90  0.0092459  0.0005535
7.00  0.0090435  0.0005519
7.10  0.0089366  0.0006206
7.20  0.0086973  0.0006515
7.30  0.0085481  0.0007229
7.40  0.0083878  0.0007268
7.50  0.0082538  0.0008226
7.60  0.0080640  0.0008546
7.70  0.0079491  0.0008824
7.80  0.0077299  0.0009131
7.90  0.0076185  0.0009225
8.00  0.0074789  0.0009606
8.10  0.0073523  0.0009722
8.20  0.0072343  0.0009830
8.30  0.0071865  0.0009798
8.40  0.0071007  0.0009508
8.50  0.0070515  0.0009385
8.60  0.0069771  0.0009570
8.70  0.0068736  0.0009535
8.80  0.0067060  0.0009344
8.90  0.0066617  0.0009078
9.00  0.0065138  0.0008596
9.10  0.0063383  0.0008007
9.20  0.0061312  0.0008351
9.30  0.0060246  0.0008315
9.40  0.0059499  0.0008343
9.50  0.0058417  0.0008724
9.60  0.0057097  0.0008259
9.70  0.0056267  0.0008098
9.80  0.0055270  0.0008068
9.90  0.0053623  0.0007950
10.00  0.0052089  0.0007914
10.10  0.0050819  0.0007795
10.20  0.0049246  0.0007481
10.30  0.0048082  0.0007829
10.40  0.0047460  0.0008437
10.50  0.0046014  0.0008939
10.60  0.0044403  0.0008832
10.70  0.0043607  0.0008911
10.80  0.0041843  0.0008596
10.90  0.0041164  0.0008580
11.00  0.0038727  0.0008489
11.10  0.0037132  0.0008528
11.20  0.0035936  0.0008573
11.30  0.0033984  0.0008204
11.40  0.0032803  0.0008724
11.50  0.0031790  0.0008940
11.60  0.0031838  0.0009016
11.70  0.0031044  0.0009215
11.80  0.0029574  0.0009057
11.90  0.0029607  0.0009416
12.00  0.0028670  0.0008883
12.10  0.0028462  0.0009107
12.20  0.0027842  0.0008644
12.30  0.0027563  0.0008696
12.40  0.0026956  0.0008535
12.50  0.0027396  0.0008118
12.60  0.0027556  0.0008278
12.70  0.0027503  0.0008414
12.80  0.0026504  0.0008320
12.90  0.0025431  0.0008528
13.00  0.0024610  0.0008500
13.10  0.0023949  0.0008134
13.20  0.0023637  0.0008272
13.30  0.0022750  0.0008303
13.40  0.0021983  0.0008160
13.50  0.0021183  0.0008169
13.60  0.0021474  0.0007898
13.70  0.0021155  0.0007758
13.80  0.0020223  0.0007347
13.90  0.0020737  0.0007493
14.00  0.0020236  0.0007262
14.10  0.0019543  0.0007040
14.20  0.0019906  0.0007050
14.30  0.0020518  0.0007350
14.40  0.0020378  0.0007280
14.50  0.0020430  0.0007424
14.60  0.0019309  0.0007351
14.70  0.0018218  0.0007472
14.80  0.0017419  0.0007782
14.90  0.0016172  0.0007636
15.00  0.0015881  0.0007914
15.10  0.0015056  0.0008018
15.20  0.0014784  0.0007540
15.30  0.0014019  0.0007290
15.40  0.0011498  0.0007229
15.50  0.0011055  0.0006575
15.60  0.0010370  0.0007269
15.70  0.0009184  0.0007638
15.80  0.0009480  0.0007751
15.90  0.0009210  0.0008512
16.00  0.0008920  0.0008562
